_id;реден број;БРОЈ НА РЕШЕНИЕ;датум;тип;ОПШТИНА;Име на ветеринарно друштво;Локација на вет. друштво;Правно  лице;Адреса на правно лице;Латитуда;Лонгитуда
175;175;08-2242;31.08.2016;Амбуланта;Прилеп;ИЛЕМИК  дооел;ул. Андон Слабејко бр.20 Прилеп;ДППУ ИЛЕМИК увоз-извоз ДООЕЛ Прилеп;ул.Орде Тодороски-Шемко бр.47 Прилеп;41.3430;21.5645
176;176;10-247;23.02.2017;Амбуланта;Битола;ВЕТ  СЕРВИС ДООЕЛ БИТОЛА;ул. ПРЕВАЛЕЦ бр.18 Битола;ВЕТЕРИНАРНА АМБУЛАНТА     ВЕТ  СЕРВИС ДООЕЛ БИТОЛА;ул. ПРЕВАЛЕЦ бр.18 Битола;41.032330;21.329590
177;177;10-548;03.03.2017;В.С.О;Свети Николе;ТРНИЦА ДОО;с.Ерџелија Свети Николе;Друштво за производство, трговија и услуги ТРНИЦА ДОО с. Трница Маврово и Ростуша;населено место без уличен систем бр. 1 Трница Ростуша, Маврово;41.7450;21.9840
178;178;10-455;13.03.2017;Амбуланта;Охрид;ВЕТ СПИРИТ;ул. Славеј Планина бр. 12  Охрид;Трговско друштво за производство, трговија и услуги ВЕТ СПИРИТ ДОО Охрид;ул. Славеј Планина бр. 12  Охрид;41.1140;20.7890
179;179;08-5256;08.05.2017;Амбуланта;Струмица;Др. ДОЛИТЛ;ул. Маршал Тито бр.174 Срумица;Друштво за производство, трговија и услуги ДОКТОР ДОЛИТЛ ДООЕЛ Струмица;ул. Маршал Тито бр.174 Срумица;41.4360;22.6523
180;180;10-2027/2;27.06.2017;Амбуланта;Крива Паланка;ПЕТАР ПАВЕЛ ВЕТ;ул.населено место без уличен систем Ранковце;ДПТУ ПЕТАР ПАВЕЛ ВЕТ ДООЕЛ увоз - извоз с. Ранковце, Ранковце;ул.населено место без уличен систем Ранковце;42.0085;22.3505
181;181;10-3183;07.09.2017;Амбуланта;Скопје;ВЕТ СВЕТ ДОО;ул. Никола Тримпаре;ВЕТ СВЕТ ДОО;ул. Никола Тримпаре;41.9942;21.4273
182;182;10-3331;25.10.2017;Амбуланта;Делчево;БАБИЧ ДЕЛ;ул. Благој Стоименов бр.5 Делчево;Ветеринарна амбуланта БАБИЧ ДЕЛ ДООЕЛ Делчево;у. Благој Стоименов бр.5 Делчево;41.7500;22.6700
183;183;10-3137;07.11.2017;амбуланта;Битола;МАНО ПЕТ ВЕТ;ул. Стево Патако бр.28 Битола;ДПТУ МАНО ПЕТ ВЕТ ДООЕЛ увоз - извоз Битола;ул. Стево Патако бр.28 Битола;41.04321;21.329666
184;184;10-2662;13.11.2017;амбуланта;Битола;БАР ВЕТ КРКЛИНО;с. Крклино Битола;ДПТГМУ БАР ВЕТ увоз извоз ДООЕЛ Битола;Булевар 1ви мајбр.243 Битола, Битола;41.032357;21.329572
185;185;10-2912;28.11.2017;амбуланта;Битола;ЧАВДАР ВЕТ;Булевар 1 мај 222 Битола;ДПТУ ЧАВДАР ВЕТ увоз - извоз ДООЕЛ Битола;Булевар 1 мај 222 Битола;41.022390;21.326539
186;186;10-1445;5.11.2018;амбуланта;Чашка ;ВЕТЕРИНА ДР: ДОМАЗЕТОВСКИ;ул. Илинденска бр.1 Чашка;Ветеринарна амбуланта ВЕТЕРИНА Др. ДОМАЗЕТОВСКИ ДООЕЛ Чашка, Чашка;ул. Илинденска бр.1 Чашка;41.3510;21.3500
187;187;10-2081;01.06.2018;амбуланта;Битола;ДР. САШО ПАВЛОВСКИ ДООЕЛ Битола;с. Ивањевци општина Могила;ДВД Ветеринарна амбуланта ДР: САШО ПАВЛОВСКИ ДООЕЛ БИТОЛА;ул. Нико Фундали бр. 13/23 Битола;41.032399;21.329502
188;188;10-1058;21.06.2018;амбуланта;Скопје;ПРИМА МАРК -С;Бул. Видое Смилевски Батобр. 39 Скопје Аеродром;Друштво за услуги ПРИМА МАРК-С ДООЕЛ Скопје;Бул. Видое Смилевски Бато бр.33/1 - 5А Скопје Аеродром;41.9965;21.4320
189;189;10-2427;17.08.2018;амбуланта;Гостивар;Алинас Гроуп Дооел;ул. Млаки 1 бр.1 Здуње  Гостивар;ДТПТГТУУ АЛИНАС ГРОУП ДООЕЛ експорт импорт Здуње, Гостивар;Млаки 1 бр.1 Здуње , Гостивар;41.6075;20.8950
190;190;10-3625;03.12.2018;амбуланта ;Струмица;ВЕТЕРИНА МЕДИКА;ул. Мито Хаџи Василев Јасмин бр.115 Струмица;ДТПУ ВЕТЕРИНА МЕДИКА увоз-извоз ДООЕЛ Струмица;ул. Мито Хаџи Василев Јасмин бр.115 Струмица;41.4350;22.6305
191;191;10-4668;12.13.2018;амб.дом. мил.;Кичево;ЗЕБРА ВЕТЕРИНА;ул.11 Септември бр.66 Кичево;ДВДТУ ЗЕБРА ВЕТЕРИНА увоз-извоз ДОО Демир Хисар;ул. Битолска бр.7 Ж Демир Хисар;41.5030;20.9810
