_id;реден број;БРОЈ НА РЕШЕНИЕ;датум;тип;ОПШТИНА;Име на ветеринарно друштво;Локација на вет. друштво;Правно  лице;Адреса на правно лице;Латитуда;Лонгитуда
84;84;11-3462/3;21.01.2011;Клиника;Куманово;Ино-Вет;ул.205, бр.4;Ветеринарна клиника ИНО ВЕТ;ул.205, бр.4;42.1350;21.7155
85;85;11-5264/4;07.07.2011;Амбуланта;Скопје;Винивет Плус;ул.526,бр.8, Марино;Винивет Плус дооел увоз-извоз;ул.Париска Комуна 14-2/16;41.9980;21.4195
86;86;11-17698/3;25.01.2011;В.С.О;Валандово;Агрипро;ул.Првомајска бр.29;ДПТУ фарма АГРИПО ДОО;ул.Првомајска бр.29;41.3785;22.4505
87;87;11-188/2;27.01.2011;Амбуланта;Скопје;Дини ГМ-Вет;ул.Драчевска бр.120;Дини ГМ-ВетДОО увоз-извоз;ул.Драчевска бр.120;41.9978;41.9978
88;88;11-466/3;21.02.2011;Амбуланта;Скопје;Др. Верче;ул.Бул. Авној 4/2;Вет Акцесориус ДООЕЛувоз-извоз;бул.Јане сандански бр.11;41.9965;21.4130
89;89;11-944/3;24.03.2011;Клиника;Битола;Вет-Макс И.Т.;ул. Индустриска бб.;Вет-Макс И.Т. ДООЕЛ;ул. Индустриска бб.;41.029940;21.326559
90;90;11-1640/3;16.5.2011;Амбуланта;Свети Николе;Алфа Вет;ул.Моша Пијаде бр.5;Алфа Вет ДООЕЛ;ул.Моша Пијаде бр.5;41.7565;21.9885
91;91;11-2077/3;01.07.2011;Амбуланта;Скопје;Пет Вет Аеро;бул.Јане сандански бр.61;Пет Вет АероДООЕЛ;бул.Јане сандански бр.61;42.0045;21.4315
92;92;11-1153/3;15.07.2011;Амбуланта;Радовиш;Анимал - Вет;ул.Плачковица бр.221;Анимал - Вет ДООЕЛ;ул.Плачковица бр.221;41.4440;22.2150
93;93;11-2441/3;19.09.2011;Клиника;Охрид;Прима-Вет ;с.Требеништа;ТД Мак маркетинг увоз-извоз ДОО;с.Требеништа;41.1070;20.7965
94;94;07-2855/3;19.09.2011;Болница;Скопје;Факултет за Ветеринарна Медицина - Скопје;ул.Лазар Поп Трајков бр.5-7;УКИМ ф-тет В.медицина;ул.Лазар Поп Трајков бр.5-7;41.9925;21.4395
95;95;07-2031/2;08.11.2011;Амбуланта;Тетово;Албавет-Ветерина;ул.101с.Боговиње;Албавет-ВетеринаДООЕЛ експорт-импорт с.Боговиње;ул.101с.Боговиње;42.0020;20.9800
96;96;07-5605/2;16.12.2011;Амбуланта;Дебар;Макси;Ул.братство единство бр.21;Макси ДООЕЛ;ул.Амди Леши бр.21;41.2105;20.5935
97;97;07-6264/3;27.01.2012;Амбуланта;Куманово;ТАУРУС-ВЕТ,ДОЕЛ;с.Табановце;ТАУРУС-ВЕТ,ДОЕЛ;с.Табановце;42.1320;21.7250
98;98;07-724/2;30.01.2012;Амбуланта;Валандово;ВАЛАНДОВО-ВЕТ,ДОО;ул.29 Ноември бр.2;ВАЛАНДОВО-ВЕТ,ДОО;ул.29 Ноември бр.2;41.3750;22.4465
99;99;07-57/2;08.02.2012;В.С.О;Штип;С.Ф.Мак Месо;с.Таринци;С.Ф.Мак Месо;с.Таринци;41.7450;22.2040
100;100;07-955/2;13.03.2012;Амбуланта;Радовиш;ВИКИ-МЕДИКА;с.Подареш;ВИКИ-МЕДИКА ДООЕЛ;с.Подареш;41.4465;22.2215
101;101;07-1757/2;24.04.2012;Амбуланта;Штип;НОВА;ул.Сутјеска бр.83/А локал 5;Алфа Алфа ДООЕЛ В.амбуланта Нова;с.Врсаково;41.7465;22.2065
102;102;07-2471/2;29.06.2012;Клиника;Струмица;СИТИ ВЕТ;ул.Гоце Делчев бр.61 А;ДТПУ ВЕТЕРИНА ЦЕНТАР ДООЕЛ;ул.Јанко цветинов бр.50/1-3;41.4308;22.6201
103;103;07-3057/2;23.07.2012;Амбуланта;Велес;УНИАГРО;Каратманово ВГ;УНИАГРО увоз-извоз ДОО;с.Ново село;41.7128;21.7730
104;104;07-3178/2;31.07.2012;Амбуланта;Пробиштип;МИЛАН ВЕТ;ул. Вељко Влаховиќ број 26;МИЛАН ВЕТ ДООЕЛ;ул. Вељко Влаховиќ број 26;41.9965;22.1831
105;105;07-3379/2;31.08.2012;Амбуланта;Свети Николе ;АНИМАЛВЕТ-КИМ;ул.Ванчо Ангелов бр.39;АНИМАЛВЕТ-КИМ ДООЕЛ;ул.Ванчо Ангелов бр.39;41.7505;22.0005
106;106;07-3618/3;18,09,2012;Клиника;Прилеп;Ветеринарна клиника Прилеп;ул.Ладо Лапецот бр.102;ДПУТТ Прилепски Текстилен конзорциум;ул.Златибор бр.64;41.3400;21.5580
107;107;07-3995/2;15,10,2012;Амбуланта;Битола;Aлекси Вет;Ул.А бр.30 с.Бистрица;Aлекси Вет ДООЕЛ;Ул.А бр.30 с.Бистрица;41.025942;21.323559
108;108;07-4517/2;30,10,2012;Амбуланта;Скопје;Драчево Вет;ул.Китка бр.65;Драчево Вет ДООЕЛ;ул.Китка бр.65;42.0085;21.4345
109;109;07-4545/2;05,11,2012;Амбуланта;Струмица;Мега-Вет;ул.Климент Охридски бр.29;Мега-ВетДООЕЛ;ул.Климент Охридски бр.29;41.4392;22.6605
110;110;07-4102/4;09,11,2012;Амбуланта;Ресен;Др.Новица Величковски;ул.29 Ноември бр.1;Др.Новица ВеличковскиДООЕЛ;ул.29 Ноември бр.1;41.1165;21.0705
111;111;07-4678/2;13,11,2012;Амбуланта;Скопје;ПЕТ СВЕТ 2012;Ул.Драмска бр.5А;ПЕТ СВЕТ 2012ДООЕЛ;бул.Јане Сандански бр.12-1/13;42.0060;21.4185
112;112;07-4814/2;23,11,2012;Амбуланта;Демир Хисар;Зебра ветерина;ул.Битолска бр. 7Ж;Зебра ветерина;ул.Битолска бр. 7Ж;41.4855;22.2615
113;113;07-4983/2;23,11,2012;Клиника;Скопје; Јо-Ка Вет ;ул.10 бб с. Кадино,општ. Илинден;Ветеринарна Станица Јо-Ка Вет ДОО ;ул.10 бб с. Кадино,општ. Илинден;42.0020;21.4260
114;114;07-4775/2;04,12,2012;В.С.О;Струмица;АД З.С.К. Струмица(Сушица);с.Сушица бр.105 општ.Ново Село;АД З.С.К. Струмица сСушица Н.Село;с.Сушица бр.105 општ.Ново Село;41.4280;41.4280
115;115;07-4947/2;14,12,2012;Амбуланта;Тетово;Здравје Вет;с.Сараќино;Здравје вет ДООЕЛ;ул.101 до река Пена с.Сараќино;42.0010;20.9738
116;116;07-5200/2;18,12,2012;Амбуланта;Скопје;Вет Медика- Скопје;ул.Бутелска бр.5-2;"""Вет Медика"" ЗиА ДОО";с.Подбреѓе , Јегуновце;41.9920;21.4510
117;117;07-5253/2;19,12,2012;Амбуланта;Липково;Асра Вет;с.Слупчане;Асра Вет ДООЕЛ;с.Слупчане;42.0270;21.6700
118;118;07-5476/4;25,12,2012;Амбуланта;Куманово;ветеринарно сточарски центар амбуланта тромеѓа доо;с.Тромеѓа;ветеринарно сточарски центар амбуланта тромеѓа доо;нм Тромеѓа;42.1400;21.7125
119;119;07-5477/4;25,12,2012;Амбуланта;Куманово;ветеринарно сточарски центар амбуланта табановце доо;с.Табановце;ветеринарно сточарски центар амбуланта табановце доо;с.Табановце;42.1280;21.7005
120;120;07-5482/2;28,12,2012;Клиника;Теарце;Пајо Вет;с. Теарце;Пајо Вет ДООЕЛ ;с. Теарце;41.9950;20.9150
121;121;07-5149/2;28,12,2012;Амбуланта;Гостивар;АГ-ЕР ВЕТ;ул.Панче Попоски бр 2/1-2;АГ-ЕР ВЕТ дооел увоз-извоз;ул.Панче Попоски бр 2/1-1;41.6080;20.9205
122;122;07-5448/2;15,01,2013;Клиника;Богданци;Анри вет;с.Стојаково,ул.Владо Пиперов бр.7;ДТУ Анри вет;с.Стојаково,ул.Владо Пиперов бр.7;41.4525;22.4225
123;123;07-106/2;15,01,2013;Амбуланта;Струмица;ВИП ПРОМ 08;с.Ново Село,ул.М.Тито бр.33;ВИП ПРОМ ДОО;ул.Ленинова бр.2 Н.Село;41.4442;22.6323
124;124;07-5855/2;21,01,2013;Амбуланта;Тетово;Ветеринарна амбулантаБОГОВИНА;с. Боговиње;ветеринарна станицаБОГОВИНА ДООЕЛ;с. Боговиње;42.0029;20.9758
125;125;07-1074/2;01,03,2013;Амбуланта;Демир Хисар;ЉУПЧО И ДР.;ул.Маршал Тито бб.;ДВВДТУ ветеринарна станица Љупчо и др. ДОО ;ул.Маршал Тито бб.;41.4810;22.2575
126;126;07-1004/6;18.03,2013;Амбуланта;Скопје;Вет Дест;с.Петровец;Вет-ДестДООЕЛ;ул.Маршал Тито бр.43 с. Петровец;41.9935;21.5780
127;127;07-1163/2;08,03,2013;Амбуланта;Струмица;Мис Нова;ул. Дрварска бр.50,;МИС НОВА ДООЕЛ;ул. Иљо Шопов бр.43/2, Струмица;41.4420;22.6450
128;128;07-1261/2;14,03,2013;Амбуланта;Тетово;ДОК И КЕТ;ул. Јане Сандански 8;Друштво ДОК И КЕТ ДООЕЛ;ул. Јане Сандански 8;42.0000;20.9718
129;129;07-1358/2;19,03,2013;Амбуланта;Радовиш;Унивет;ул. Самоилова бр. 2;УНИВЕТ Јонче и др ДОО;ул Самоилова 2;41.4425;22.2140
130;130;07-1446/2;21,03,2013;Амбуланта;Струмица;ЕКО-ВЕТ;ул.Климент Охридски бр.308;ДПТУ Лакто-Вет ДООЕЛ увоз-извоз;ул.Ката Поцкова бр.76;41.4325;22.6555
131;131;07-1460/2;21,03,2013;Амбуланта;Крива Паланка;РАНКОВЦЕ;Ранковце;Ветеринарна СтаницаДОО Крива Паланка;ул. Св.Јоаким Осоговски бр. 61;42.0070;22.3480
132;132;07-2121/3;13,05,2013;Амбуланта;Скопје;АМСА-ВЕТ-САМЕТ;ул.3 бр.2 ,Кондово,Сарај;ДПТУ АМСА-ВЕТ-САМЕТ ДООЕЛ;ул.3 бр.2 ,Кондово,Сарај;41.9480;21.4270
133;133;07-2563/2;10,06,2013;Амбуланта;Тетово;Албавет-Вери;с.Џепчиште;ДПТВУ Аљбавет-Вери ДООЕЛ експорт-импорт;с.Џепчиште;42.03090;20.97569
134;134;07-2595/2;24,06,2013;Амбуланта;Кратово;ЕУРО Компани;ул. Цанка Андреевска бр.14;ДПТУ ЕУРО КОМПАНИ ДООЕЛ увоз-извоз;ул. Гоце Делчев бр. Бб;42.0865;22.1810
135;135;07-3869/2;23,09,2013;В.С.О;Гевгелија;Ветеринар ДОО;ул.Моински пат бб;ДПТУ ВЕТЕРИНАР ДОО експорт-импорт;ул. 7ми Ноември бр.75,;41.1430;22.4975
136;136;07-6441/2;26,11,2013;Амбуланта;Гостивар;Нова Вет - Гостивар;ул. 18 Ноември бр. 27;Нова Вет ДООЕЛ Гостивар;ул. 18 Ноември бр. 27;41.6050;20.9030
137;137;07-6127/3;29,11,2013;Амбуланта ДМ;Скопје;Доктор Јасминка ван дер Флиер;ул. Митрополит Теодосије Гологанов  бр. 149-12;Доктор Јасминка ван дер Флиер ДООЕЛ;ул. Митрополит Теодосије Гологанов  бр. 149-12;42.0015;21.4500
138;138;07-7286/3;04,12,2013;В.С.О;Градско;Вардар АД Градско;ул. 4-ти Јули  бр. 57;ДППЗСП ВАРДАР АД Градско;Автопат бр.4, Градско;41.6260;21.5250
139;139;07-8234/2;08,01,2014;В.С.О;Велес;СИРМЕС-ТД;ул. Вардарска бб, м.в. ЛАКА ;ДВИЛ Сирмес ТД увоз извоз;ул.Благој Ѓорев бб.;41.7185;21.7825
140;140;07-7938/2;14,01,2014;Амбуланта;Кочани;АВИЦЕНА-ВЕТ;ул. Страшо Ербапче  бр.25,;ДПТУ АВИЦЕНА-ВЕТ ДООЕЛ увоз - извоз;ул. 1-ви Мај  бр. 4 , Спанчево, Чешиново-Облешево;41.7805;22.4125
141;141;07-2270/2;03,04,2014;Амбуланта;Пробиштип;Вива Вет 2014;ул. 8-ми Септември  бр. 39;ДУПТ ВИВА ВЕТ 2014 ДОО;ул. 8-ми Септември  бр. 39;41.9955;22.1756
142;142;07-4466/2;01,07,2014;Амбуланта;Тетово;В.А.ПРАКСИС;ул. Благоја Тоска бр.63; ДВУ Праксис Зуфер ДООЕЛ експорт-импорт с. Желино;с.Желино;42.0030;20.9700
143;143;07-4447/2;02,07,2014;Амбуланта;Скопје;ЗОО Бутик Тропски Свет;бул.Јане сандански бр.59,лок 7;ДТУ ЗОО Бутик Тропски Свет ДООЕЛ;бул.Јане сандански бр.59,лок 7-Аеродром;41.9980;21.4440
144;144;07-4630/2;10,07,2014;Амбуланта;Скопје;МОГЛИВЕТ;ул. Елисие Поповски - Марко  бр. 55б;ДВТУ РОЈАЛ-ВЕТ  ДООЕЛ увоз-извоз;ул. Елисие Поповски - Марко  бр. 55б;41.9965;21.4740
145;145;07-4879/2;17,07,2014;Амбуланта;Богданци;Др.Ичков;ул.Кукушка бр.7;ДПТУ ДР.ИЧКОВ ДООЕЛ увоз-извоз;ул.Кукушка бр.7;41.4480;22.4180
146;146;07-5199/6;18,09,2014;Амбуланта;Градско;АГРИА;с.Долно Чичево;Агриа Агроиндустриска групација ДОО;Ул.8 ми Септември бр 64;41.6285;21.5285
147;147;07-6546/4;20,10,2014;Амбуланта;Битола;Др.Игор  Талевски;бул.1ви Мај бр.210;Вет-Макс И.Т. ДООЕЛ;ул. Индустриска бб.;41.036331;21.329565
148;148;07-7093/2;20,10,2014;Амбуланта;Струмица;ТРИВЕТ-Звонко;с.Мокриево бр.191;ДПТУ ТРИВЕТ ЗВОНКО ДООЕЛ ;ул.Крушевска Република бр.203;41.4378;22.6426
149;149;07-6727/3;30,10,2014;Амбуланта;Охрид;MAJA-ТАМАРА-ВЕТ ;Бул. Македонски просветители бб;Друштво за услуги трговија и производство, MAJA-ТАМАРА-ВЕТ  увоз-извоз  ДООЕЛ;Бул. Македонски просветители бб, ТЦ Охриганка 1;41.1055;20.8035
150;150;07-8081/3;05,12,2014;Амбуланта;Скопје;ВЕТМЕДИК 2014 ДООЕЛ;ул.Московска бр. 7/004;ДТУ ВЕТМЕДИК 2014 ДООЕЛ;ул.Московска бр. 7/004 Карпош;41.9985;21.4235
151;151;07-8364/2;05,12,2014;Амбуланта;Берово;КИРОВСКИ-ВЕТ ДООЕЛ;ул.Борис Кидрич бр.14/а;ДПТУ КИРОВСКИ-ВЕТ ДООЕЛ увоз-извоз  ;ул.Борис Кидрич бр.14/а;41.6510;22.8650
152;152;07-8191/2;17.12.2014;В.С.О;Скопје;Вини- Фарма н.м Илинден Илинден;с. Пекљане Виница;ДОЖТУ Вини Фарма Доо н.м Илинден Илинден;ул. 9 бр. 47 н. Илинден;41.9945;21.4755
153;153;07-8972/2;22.12.2014;амбуланта;Струга;В.А Петар Вет ДООЕЛ;ул.27 март Струга б.б;ТДПТУ Петар Вет ДООЕЛ Струга;27 март б.б Струга;41.1700;20.6685
154;154;07-8716/2;08.01.2015;Амбуланта;Струмица;Ветеринарна Амбуланта Муртино;с. Муртино бр.499 Струмица;ДПТУ Ветромед Дооел Струмица;ул. Младинска бр.12 Струмица;41.4485;22.6410
155;155;08-275/3;26.01.2015;амбуланта;Скопје;Хепи Пет;ул.Булевар Видое Смилевски Бато бр. 11;ДККУ ЧУНГУРСКИ ДОО Скопје;ул. Булевар Видое Смилевски Бато бр. 25/2-9;41.9700;21.4390
156;156;08-2780/2;23.04.2015;амбуланта;Кавадарци;Каспер 15 ДУО ДОО Кавадарци;Ул. Киро Крстев бр.4 Кавадарци, Кавадарци;ДПТУ Каспер 15 ДУО ДОО Увоз Извоз;Ул. Киро Крстев бр.4 Кавадарци, Кавадарци;41.4290;22.0045
157;157;08-3822/2;01.07.2015;амбуланта;Kочани;ВЕТ-МЕД ГЃ;ул.Теодосија Паунов бр. 55 Кочани;ДПТУ  ВЕТ МЕД ГЃ ДООЕЛ увоз-извоз Оризари Кочани;ул.Теодосија Паунов бр. 55 Кочани;41.7730;21.4130
158;158;08-5014/2;10.07.2015;амбуланта;Скопје;ВЕТЕРИНАРЕН ЦЕНТАР;ул. Козара бр.64/1 Скопје;ДВУ Ветеринарен Центар ДООЕЛ;ул. Козара бр.64/1 Скопје- Центар;41.9860;21.4395
159;159;08-6676/2;26.10.2015;амбуланта;Тетово;Про Вет Нераште;с. Нераште;ДВУ Про Вет Нераште ДООЕЛ с. Нераште;ул.101 бр.1;42.0060;20.9788
160;160;08-7949/2;23.12.2015;амбуланта;Тетово;ВЕТ- ТЕАРЦЕ Ветеринарна Клиника;с. Слатино Теарце;ДПВДВК ВЕТ-ТЕАРЦЕ ДООЕЛ с. Слатино Теарце;ул.101 бр.10 с. Слатино Теарце;42.0011;20.9738
161;161;08-8765/2;04.01.2016;амб.дом. мил.;Скопје;ВЕТКОЛЛ;ул.29 Ноември 4г Дебар Маало, Центар;УТД ВЕТКОЛЛ Перо Божиновски ДООЕЛ;ул.29 Ноември 4г Дебар Маало, Центар;41.9905;21.4240
162;162;08-282/2;28.01.2016;амбуланта;Свети Николе;Прима ДОО;ул. Велко Влаховиќ бр. 160;Ветеринрна амбулантаПРИМА ДОО Свети Николе;ул. Велко Влаховиќ бр. 160;41.7480;21.9775
163;163;08-9100/2;04.02.2016;амбуланта;Тетово;АНИМАЛ ВЕТ ВЛАМА;с. Шемшево;Ветеринарна амбулантаАНИМАЛ ВЕТ ВЛАМА ДООЕЛ с.Шемшево Јегуновце;ул. 101 бр. 50 Шемшево, Јегуновце;42.0019;20.9718
164;164;08-886/2;26.02.2016;амбуланта;Охрид/Дебарца;Ветеринарна Амбуланта Климе ДООЕЛ;с. Требеништа;ДПТУ Ветеринарна Амбуланта Климе ДООЕЛ с. Требеништа Дебарца;с. Требеништа Дебарца;41.1095;20.8140
165;165;08-1806/2;11.03.2016;амбуланта;Новаци;Ветеринарна Амбуланта Проветалек ;с. Новаци ул.1 бр.1;ДПТУ ПРОВЕТАЛЕК ДООЕЛ увоз-извоз  Новаци;ул.1 бр.1 с. Новаци;41.3130;21.0935
166;166;08-1684/2;11.03.2016;амбуланта;Битола;Ветеринарна Амбуланта Филипов;ул.Гоце Делчев бб с. Кравари;ДВД Ветеринарна амбуланта ФИЛИПОВ ДООЕЛ Битола;бул.Социјалистичка револуција бб Битола;41.03051;21.32995
167;167;08-1725/2;29.03.2016;амбуланта;Штип;Ветеринарна Амбуланта Алфа Вет Карбинци;населба Карбинци;ТД Гоче и Џоле ДОО;ул. Борис Крајгер бб Штип;41.7430;41.7430
168;168;08-2139/2;12.04.2016;амбуланта;Битола;Ветеринарна Амбуланта ДР. Стојаноски;ул. Кавала бр.1 Битола;ДУТП  Ветеринарна амбуланта ДР. Стојаноски  увоз извоз ДООЕЛ Битола;ул. Кавала бр.1 Битола;41.032369;21.396884
169;169;08-9153/2;12.04.2016;Амбуланта;Битола;Пелагонија Вет ДООЕЛ;ул. Ѓ бр. 28 с. Могила;Ветеринарна Амбуланта ПЕЛАГОНИЈА ВЕТ ДООЕЛ с. Могила;ул. Ѓ бр. 28 с. Могила Могила;41.035089;21.302066
170;170;08-195/1;03.05.2016;Амбуланта;Битола;ДР. ЧУПОНА;Бошко Најдовски бр. 44 Битола;ДВД Ветеринарна амбуланта  ДР. ЧУПОНА увоз-извоз ДООЕЛ;Бошко Најдовски бр. 44 Битола;41.036818;21.400032
171;171;08-2383/2;31.08.2016;Амбуланта;Штип;Ветеринарна Амбуланта Штип;ул. Митко Соколов бр.8 Штип;Друштво со ограничена одговорност ВЕтеринарна Станица ДООЕЛ Штип;ул. Митко Соколов бр.8 Штип;41.7430;22.2080
172;172;08-696;30.05.2016;Амбуланта;Штип;Ветеринарна амбуланта ПРИМА ВЕТ КОМПАНИ;бр.30 с. Долни Балван општина Карбинци;ДВУ ПРИМА ВЕТ КОМПАНИ ДОО   с. Долни Балван Карбинци;населено место без уличен систем бр.30/а Долни Балван;41.7420;22.2005
173;173;08-794;07.06.2016;Амбуланта;Скопје;Д-р Марин Величковски;ул. Васко Карангелевски бр.9 Аеродром;ДВУП ДР. Марин Величковски ДООЕЛ Скопје;ул. Васко Карангелевски бр.9 Аеродром;41.9850;21.4450
174;174;08-1193;11.07.2016;Амбуланта;Скопје;ПРИМА ВЕТ МЕДИКА ДОО Скопје;бул. Кузман Јосифовски Питу бр.26/1 лок.4;Ветеринарна Амбуланта ПРИМА ВЕТ МЕДИКА ДОО СКОПЈЕ;бул. Кузман Јосифовски Питу бр.26/1 лок.4;41.9490;21.4185
